Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	AF139DO	AF6139
NULL	NULL	AF140EK	AFR
NULL	NULL	AF140GN	AF6140
NULL	NULL	AF141VA	AF6141
NULL	NULL	AF142JJ	AF6142
NULL	NULL	AF142PB	AF6142
NULL	NULL	AF143YO	AF6143
NULL	NULL	AF144AB	AFR50J
NULL	NULL	AF144EK	AF6144
NULL	NULL	AF145PE	AF6145
NULL	NULL	AF146AB	AF6146
NULL	NULL	AF146FZ	AF1875
NULL	NULL	AF146JJ	AF4007
NULL	NULL	AF147EL	AF6147
NULL	NULL	AF148YJ	AF6148
NULL	NULL	AF152PB	AF6152
NULL	NULL	AF155VA	AF6155
NULL	NULL	AF156EK	AF6156
NULL	NULL	AF156GN	AF6156
NULL	NULL	AF157NR	AF6157
NULL	NULL	AF157VA	AF6157
NULL	NULL	AF158GN	AF6158
NULL	NULL	AF158JJ	AF6158
NULL	NULL	AF160AB	AF6160
NULL	NULL	AF160PB	AF7578
NULL	NULL	AF161YO	AF6161
NULL	NULL	AF161ZL	AF6161
NULL	NULL	AF162HK	AF6162
NULL	NULL	AF168JJ	AF6168
NULL	NULL	AF168YJ	AF6168
NULL	NULL	AF192JP	AF1192
NULL	NULL	AF193HI	RAE516B
NULL	NULL	AF200EL	AF4202
NULL	NULL	AF200FW	AF7578
NULL	NULL	AF200WC	AF6200
NULL	NULL	AF201GP	AF6201
NULL	NULL	AF201VX	AF6201
NULL	NULL	AF202JE	AF6202
NULL	NULL	AF202MW	AF6202
NULL	NULL	AF203DX	AF6203
NULL	NULL	AF203GP	AF6203
NULL	NULL	AF203GY	AF4211
NULL	NULL	AF204FC	AF6204
NULL	NULL	AF204PN	AF6204
NULL	NULL	AF204TC	AF6204
NULL	NULL	AF205DX	AF6205
NULL	NULL	AF205FN	AF6205
NULL	NULL	AF205FP	AF6205
NULL	NULL	AF206DD	AF6206
NULL	NULL	AF206FW	AF6206
NULL	NULL	AF206TC	AF6206
NULL	NULL	AF207FP	AF6207
NULL	NULL	AF207QX	AF6207
NULL	NULL	AF208UM	AF4203
NULL	NULL	AF208WC	AFR8WC
NULL	NULL	AF209VX	AF6209
NULL	NULL	AF209YH	AF6208
NULL	NULL	AF210MW	AF6210
NULL	NULL	AF210UD	AFR665Y
NULL	NULL	AF211SD	AF4213
NULL	NULL	AF212JE	AF6212
NULL	NULL	AF212TC	AF6212
NULL	NULL	AF213GP	AF6213
NULL	NULL	AF213HI	AF6213
NULL	NULL	AF213VX	AF6213
NULL	NULL	AF214DR	AF6214
NULL	NULL	AF214FW	AF6214
NULL	NULL	AF214ND	AF6215
NULL	NULL	AF215XJ	AF6215
NULL	NULL	AF216PZ	AF6223
NULL	NULL	AF217DX	AF6217
NULL	NULL	AF217FP	AF6217
NULL	NULL	AF218TU	AF4207
NULL	NULL	AF219AG	AF6219
NULL	NULL	AF219FP	AF6219
NULL	NULL	AF220DA	AF6225
NULL	NULL	AF220FW	AF6220
NULL	NULL	AF220WC	AFR220W
NULL	NULL	AF221DX	AF6221
NULL	NULL	AF221UL	AF4007
NULL	NULL	AF221VX	AF6221
NULL	NULL	AF222MM	AF6229
NULL	NULL	AF222MW	AF6222
NULL	NULL	AF222WC	AFR222W
NULL	NULL	AF223DX	AF6223
NULL	NULL	AF223EI	AF6223
NULL	NULL	AF223FP	AF6223
NULL	NULL	AF223GP	AF6237
NULL	NULL	AF224TC	AF6224
NULL	NULL	AF224WC	AF6224
NULL	NULL	AF224YN	AF6225
NULL	NULL	AF225DX	AF6225
NULL	NULL	AF225MJ	AF6225
NULL	NULL	AF226FW	AF6225
NULL	NULL	AF226TY	AF6226
NULL	NULL	AF227CS	AFR875D
NULL	NULL	AF228MW	AF6228
NULL	NULL	AF228WC	AF6228
NULL	NULL	AF228XS	AF6228
NULL	NULL	AF229UH	AF6229
NULL	NULL	AF230MW	AF6230
NULL	NULL	AF230TH	AF6227
NULL	NULL	AF231FP	AF6231
NULL	NULL	AF231GP	AF6231
NULL	NULL	AF232KD	AF4232
